room_id,supplier_id,name,serial_number,equipment_type,status,last_maintenance,next_maintenance,expiry_date
72,8,Equipment 39,SN-000039,refrigerator,operational,,,2027-11-03T04:49:33.578137
7,13,Equipment 40,SN-000040,incubator,decommissioned,2026-02-27T04:49:33.578141,2026-05-17T04:49:33.578141,2027-09-25T04:49:33.578146
74,7,Equipment 41,SN-000041,immunoassay_analyzer,decommissioned,2026-02-23T04:49:33.578149,2026-09-08T04:49:33.578149,2029-03-24T04:49:33.578155
3,,Equipment 42,SN-000042,spectrophotometer,decommissioned,2026-01-16T04:49:33.578158,2026-10-27T04:49:33.578158,2027-09-10T04:49:33.578164
7,20,Equipment 43,SN-000043,other,decommissioned,2026-01-04T04:49:33.578167,2026-02-27T04:49:33.578167,2027-12-11T04:49:33.578172
18,24,Equipment 44,SN-000044,pcr_machine,decommissioned,2026-03-08T04:49:33.578175,2026-11-13T04:49:33.578175,2028-05-23T04:49:33.578180
72,18,Equipment 45,SN-000045,microscope,operational,,,2028-07-04T04:49:33.578184
80,4,Equipment 46,SN-000046,immunoassay_analyzer,operational,2025-11-15T04:49:33.578190,2026-05-07T04:49:33.578190,2028-07-19T04:49:33.578195
47,7,Equipment 47,SN-000047,incubator,decommissioned,2026-01-08T04:49:33.578199,2026-11-19T04:49:33.578199,2029-02-22T04:49:33.578206
43,17,Equipment 48,SN-000048,refrigerator,maintenance,,,2029-09-27T04:49:33.578211
79,13,Equipment 49,SN-000049,incubator,broken,2026-02-28T04:49:33.578214,2026-09-13T04:49:33.578214,2029-09-01T04:49:33.578219
63,10,Equipment 50,SN-000050,refrigerator,operational,2025-11-25T04:49:33.578225,2026-09-23T04:49:33.578225,2028-05-28T04:49:33.578231
75,24,Equipment 51,SN-000051,other,operational,2026-03-07T04:49:33.578234,2026-11-05T04:49:33.578234,2029-09-08T04:49:33.578240
74,2,Equipment 52,SN-000052,incubator,decommissioned,2025-10-19T04:49:33.578243,2026-09-10T04:49:33.578243,2027-04-19T04:49:33.578249
19,8,Equipment 53,SN-000053,hematology_analyzer,operational,2025-10-28T04:49:33.578252,2026-06-09T04:49:33.578252,2027-05-30T04:49:33.578258
20,7,Equipment 54,SN-000054,spectrophotometer,decommissioned,,,2031-02-05T04:49:33.578263
67,11,Equipment 55,SN-000055,other,decommissioned,2026-03-20T04:49:33.578266,2026-06-28T04:49:33.578266,2029-04-15T04:49:33.578272
69,12,Equipment 56,SN-000056,other,broken,2026-02-19T04:49:33.578276,2026-11-11T04:49:33.578276,2029-10-05T04:49:33.578282
72,10,Equipment 57,SN-000057,microscope,maintenance,2026-01-31T04:49:33.578285,2026-07-22T04:49:33.578285,2030-03-18T04:49:33.578291
45,24,Equipment 58,SN-000058,microscope,broken,2026-01-13T04:49:33.578294,2026-10-15T04:49:33.578294,2027-01-09T04:49:33.578301
51,25,Equipment 59,SN-000059,immunoassay_analyzer,broken,2025-11-16T04:49:33.578304,2026-06-28T04:49:33.578304,2026-07-30T04:49:33.578310
57,24,Equipment 60,SN-000060,refrigerator,maintenance,2026-03-15T04:49:33.578313,2026-10-08T04:49:33.578313,2027-06-22T04:49:33.578318
35,20,Equipment 61,SN-000061,incubator,maintenance,2026-01-25T04:49:33.578322,2026-12-08T04:49:33.578322,2027-09-13T04:49:33.578328
30,,Equipment 62,SN-000062,spectrophotometer,broken,,2026-08-28T04:49:33.578332,2030-05-13T04:49:33.578335
1,6,Equipment 63,SN-000063,spectrophotometer,decommissioned,2025-10-12T04:49:33.578339,2026-01-20T04:49:33.578339,2029-01-06T04:49:33.578345
37,25,Equipment 64,SN-000064,biochemistry_analyzer,maintenance,2026-01-21T04:49:33.578349,2026-08-03T04:49:33.578349,2029-05-04T04:49:33.578355
54,6,Equipment 65,SN-000065,hematology_analyzer,decommissioned,2026-03-26T04:49:33.578359,2026-07-23T04:49:33.578359,2030-10-04T04:49:33.578367
2,20,Equipment 66,SN-000066,biochemistry_analyzer,broken,2026-01-20T04:49:33.578376,2026-03-10T04:49:33.578376,2027-12-08T04:49:33.578384
68,5,Equipment 67,SN-000067,freezer,decommissioned,2025-10-22T04:49:33.578388,2026-08-26T04:49:33.578388,2027-11-14T04:49:33.578394
21,21,Equipment 68,SN-000068,microscope,maintenance,,,2026-06-02T04:49:33.578399
25,21,Equipment 69,SN-000069,spectrophotometer,decommissioned,2026-01-19T04:49:33.578405,2026-12-05T04:49:33.578405,2029-03-25T04:49:33.578411
24,16,Equipment 70,SN-000070,pcr_machine,maintenance,2025-12-23T04:49:33.578415,2026-03-11T04:49:33.578415,2026-05-18T04:49:33.578421
35,10,Equipment 71,SN-000071,incubator,operational,2026-02-03T04:49:33.578424,2026-10-19T04:49:33.578424,2027-10-22T04:49:33.578430
8,15,Equipment 72,SN-000072,microscope,maintenance,2025-10-09T04:49:33.578433,2026-03-08T04:49:33.578433,2028-08-12T04:49:33.578438
38,8,Equipment 73,SN-000073,centrifuge,maintenance,2026-01-15T04:49:33.578441,2026-04-15T04:49:33.578441,2029-01-08T04:49:33.578447
48,18,Equipment 74,SN-000074,refrigerator,maintenance,,2027-03-11T04:49:33.578450,2030-08-12T04:49:33.578454
68,23,Equipment 75,SN-000075,pcr_machine,operational,2025-11-03T04:49:33.578457,2026-01-13T04:49:33.578457,2029-07-03T04:49:33.578463
26,5,Equipment 76,SN-000076,immunoassay_analyzer,broken,,2027-01-18T04:49:33.578466,2031-02-17T04:49:33.578470
75,17,Equipment 77,SN-000077,refrigerator,operational,2026-03-06T04:49:33.578477,2026-07-19T04:49:33.578477,2028-11-18T04:49:33.578485
73,,Equipment 78,SN-000078,refrigerator,broken,,,2030-05-25T04:49:33.578494
1,19,Equipment 79,SN-000079,biochemistry_analyzer,operational,,,2028-09-18T04:49:33.578499
8,3,Equipment 80,SN-000080,refrigerator,operational,2026-03-19T04:49:33.578502,2027-01-20T04:49:33.578502,2027-12-13T04:49:33.578507
54,13,Equipment 81,SN-000081,refrigerator,decommissioned,2026-03-01T04:49:33.578511,2027-02-22T04:49:33.578511,2028-06-12T04:49:33.578518
18,12,Equipment 82,SN-000082,biochemistry_analyzer,maintenance,,2027-02-05T04:49:33.578522,2029-05-09T04:49:33.578526
1,10,Equipment 83,SN-000083,refrigerator,decommissioned,2026-03-03T04:49:33.578529,2026-07-25T04:49:33.578529,2029-04-28T04:49:33.578534
59,9,Equipment 84,SN-000084,centrifuge,operational,2026-02-05T04:49:33.578538,2026-07-11T04:49:33.578538,2026-07-09T04:49:33.578543
3,3,Equipment 85,SN-000085,biochemistry_analyzer,operational,2025-12-18T04:49:33.578547,2026-11-27T04:49:33.578547,2028-11-04T04:49:33.578552
6,8,Equipment 86,SN-000086,freezer,maintenance,2026-03-23T04:49:33.578559,2026-08-25T04:49:33.578559,2030-07-27T04:49:33.578565
65,8,Equipment 87,SN-000087,incubator,broken,2026-03-21T04:49:33.578568,2026-06-30T04:49:33.578568,2029-07-30T04:49:33.578573
31,5,Equipment 88,SN-000088,other,maintenance,2025-10-14T04:49:33.578578,2026-04-26T04:49:33.578578,2028-08-28T04:49:33.578583
76,6,Equipment 89,SN-000089,other,decommissioned,2026-03-20T04:49:33.578593,2027-01-29T04:49:33.578593,2029-06-16T04:49:33.578600
49,11,Equipment 90,SN-000090,spectrophotometer,decommissioned,2026-01-06T04:49:33.578603,2026-12-31T04:49:33.578603,2027-03-06T04:49:33.578608
61,8,Equipment 91,SN-000091,microscope,maintenance,2026-02-16T04:49:33.578611,2026-12-18T04:49:33.578611,2030-11-10T04:49:33.578617
53,18,Equipment 92,SN-000092,freezer,maintenance,2026-03-21T04:49:33.578619,2027-02-01T04:49:33.578619,2028-07-08T04:49:33.578624
11,12,Equipment 93,SN-000093,biochemistry_analyzer,maintenance,2026-02-11T04:49:33.578627,2026-08-29T04:49:33.578627,2026-08-18T04:49:33.578633
78,,Equipment 94,SN-000094,biochemistry_analyzer,maintenance,2025-10-14T04:49:33.578637,2026-09-18T04:49:33.578637,2030-11-07T04:49:33.578642
28,11,Equipment 95,SN-000095,microscope,operational,2025-10-15T04:49:33.578645,2026-08-27T04:49:33.578645,2027-07-12T04:49:33.578651
32,23,Equipment 96,SN-000096,centrifuge,decommissioned,2026-03-05T04:49:33.578654,2026-12-05T04:49:33.578654,2027-09-07T04:49:33.578660
60,12,Equipment 97,SN-000097,microscope,broken,2026-01-22T04:49:33.578663,2026-09-03T04:49:33.578663,2028-05-10T04:49:33.578669
13,24,Equipment 98,SN-000098,refrigerator,broken,2025-11-28T04:49:33.578672,2026-08-23T04:49:33.578672,2027-06-25T04:49:33.578677
73,24,Equipment 99,SN-000099,immunoassay_analyzer,operational,2025-12-20T04:49:33.578680,2026-02-11T04:49:33.578680,2027-10-21T04:49:33.578686
54,7,Equipment 100,SN-000100,pcr_machine,maintenance,2025-11-06T04:49:33.578689,2026-09-28T04:49:33.578689,2028-06-20T04:49:33.578695
71,22,Equipment 101,SN-000101,pcr_machine,broken,2026-02-01T04:49:33.578699,2026-11-13T04:49:33.578699,2030-08-15T04:49:33.578704
59,12,Equipment 102,SN-000102,immunoassay_analyzer,maintenance,2025-10-22T04:49:33.578707,2026-07-30T04:49:33.578707,2030-05-19T04:49:33.578713
8,3,Equipment 103,SN-000103,other,operational,2026-02-16T04:49:33.578722,2026-12-20T04:49:33.578722,2030-08-17T04:49:33.578729
30,,Equipment 104,SN-000104,immunoassay_analyzer,operational,,,2027-07-26T04:49:33.578734
80,20,Equipment 105,SN-000105,refrigerator,decommissioned,2025-12-30T04:49:33.578737,2026-02-28T04:49:33.578737,2026-06-06T04:49:33.578743
3,9,Equipment 106,SN-000106,freezer,broken,,2026-05-11T04:49:33.578746,2026-06-09T04:49:33.578750
23,4,Equipment 107,SN-000107,freezer,maintenance,2025-10-08T04:49:33.578753,2026-06-15T04:49:33.578753,2027-09-10T04:49:33.578759
35,3,Equipment 108,SN-000108,pcr_machine,decommissioned,,2026-11-02T04:49:33.578764,2028-11-30T04:49:33.578769
39,3,Equipment 109,SN-000109,other,operational,2025-10-08T04:49:33.578772,2026-03-02T04:49:33.578772,2026-11-12T04:49:33.578779
61,,Equipment 110,SN-000110,hematology_analyzer,maintenance,2025-12-29T04:49:33.578783,2026-11-06T04:49:33.578783,2026-10-21T04:49:33.578789
