worker_id,sample_id,equipment_id,test_type_id,urgency,status,assigned_at
31,126,102,18,stat,completed,2026-04-14T07:55:56.153188
69,116,3,2,urgent,pending,2026-04-16T00:55:56.153193
101,11,28,17,urgent,in_progress,2026-04-13T10:55:56.153199
30,19,,5,urgent,pending,2026-04-14T14:55:56.153204
117,12,84,5,routine,in_progress,2026-04-12T21:55:56.153208
7,79,13,15,stat,in_progress,2026-04-13T07:55:56.153213
9,28,,20,stat,in_progress,2026-04-18T22:55:56.153218
103,52,104,13,urgent,pending,2026-04-13T11:55:56.153222
70,36,102,7,routine,in_progress,2026-04-16T01:55:56.153228
9,31,97,14,routine,completed,2026-04-13T17:55:56.153236
22,113,75,2,routine,pending,2026-04-12T21:55:56.153242
79,97,3,16,routine,pending,2026-04-19T13:55:56.153247
23,23,76,10,urgent,cancelled,2026-04-18T06:55:56.153252
27,37,67,15,urgent,in_progress,2026-04-17T18:55:56.153257
79,10,92,16,stat,pending,2026-04-12T22:55:56.153262
106,78,1,18,routine,in_progress,2026-04-18T08:55:56.153267
68,25,98,18,stat,in_progress,2026-04-14T16:55:56.153271
99,54,25,4,routine,cancelled,2026-04-14T07:55:56.153277
